Product Name,Age Recommendation,Number of Purchases,Product Link,Image Link
Gringotts™ Wizarding Bank – Collectors' Edition,18+,4801,/en-id/product/gringotts-wizarding-bank-collectors-edition-76417,https://www.lego.com/cdn/cs/set/assets/bltfbd377eafb67041a/76417.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
"Harry, Hermione, Ron & Hagrid™",10+,466,/en-id/product/harry-hermione-ron-hagrid-40495,https://www.lego.com/cdn/cs/set/assets/bltfbd377eafb67041a/76417.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts™ Castle and Grounds,18+,2660,/en-id/product/hogwarts-castle-and-grounds-76419,https://www.lego.com/cdn/cs/set/assets/bltfbd377eafb67041a/76417.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
LEGO® Harry Potter™ Advent Calendar 2023,7+,227,/en-id/product/lego-harry-potter-advent-calendar-2023-76418,https://www.lego.com/cdn/cs/set/assets/blt3db77dbc731f5eeb/76417_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
"Voldemort™, Nagini & Bellatrix",10+,344,/en-id/product/voldemort-nagini-bellatrix-40496,https://www.lego.com/cdn/cs/set/assets/blt3db77dbc731f5eeb/76417_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts Express™ – Collectors' Edition,18+,5129,/en-id/product/hogwarts-express-collectors-edition-76405,https://www.lego.com/cdn/cs/set/assets/blt3db77dbc731f5eeb/76417_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts™ Icons - Collectors' Edition,18+,3010,/en-id/product/hogwarts-icons-collectors-edition-76391,https://www.lego.com/cdn/cs/set/assets/bltbc78df8e2ce91566/40495.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Harry Potter & Hermione Granger™,10+,1673,/en-id/product/harry-potter-hermione-granger-76393,https://www.lego.com/cdn/cs/set/assets/bltbc78df8e2ce91566/40495.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Harry Potter™ Hogwarts™ Crests,18+,4249,/en-id/product/harry-potter-hogwarts-crests-31201,https://www.lego.com/cdn/cs/set/assets/bltbc78df8e2ce91566/40495.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts™: Polyjuice Potion Mistake,7+,217,/en-id/product/hogwarts-polyjuice-potion-mistake-76386,https://www.lego.com/cdn/cs/set/assets/bltaeff6055d35f0959/40495_alt1.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts™ Hospital Wing,8+,510,/en-id/product/hogwarts-hospital-wing-76398,https://www.lego.com/cdn/cs/set/assets/bltaeff6055d35f0959/40495_alt1.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Dobby™ the House-Elf,8+,403,/en-id/product/dobby-the-house-elf-76421,https://www.lego.com/cdn/cs/set/assets/bltaeff6055d35f0959/40495_alt1.jpg?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Draco Malfoy™ & Cedric Diggory,10+,262,/en-id/product/draco-malfoy-cedric-diggory-40617,https://www.lego.com/cdn/cs/set/assets/blte09f96efc93d5c1d/76419.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Expecto Patronum,14+,754,/en-id/product/expecto-patronum-76414,https://www.lego.com/cdn/cs/set/assets/blte09f96efc93d5c1d/76419.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
"Fawkes, Dumbledore’s Phoenix",10+,597,/en-id/product/fawkes-dumbledore-s-phoenix-76394,https://www.lego.com/cdn/cs/set/assets/blte09f96efc93d5c1d/76419.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Harry Potter™ & Cho Chang,10+,267,/en-id/product/harry-potter-cho-chang-40616,https://www.lego.com/cdn/cs/set/assets/blt5a988358a6267b58/76419_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogsmeade™ Village Visit,8+,851,/en-id/product/hogsmeade-village-visit-76388,https://www.lego.com/cdn/cs/set/assets/blt5a988358a6267b58/76419_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
Hogwarts Express ™ Train Set with Hogsmeade Station™,8+,1074,/en-id/product/hogwarts-express-train-set-with-hogsmeade-station-76423,https://www.lego.com/cdn/cs/set/assets/blt5a988358a6267b58/76419_alt1.png?format=webply&fit=bounds&quality=100&width=320&height=320&dpr=1 1x
